NO,년도,학기,개설부서,교과목-분반,교과목명,"이수
구분","세부
분류","교과
연구",담당교수,"과정
구분",강/실/학,강의언어,시간표,강의실,"수강
정원","수강
인원",선수과목,"강의공유
대표교과목","강의
공유
대표","재수강
예외여부","폐강
여부","SYLL
ABUS","설명
영상","출석부
유무",Upload,"강의
방법",선택MOOC
84,2010,2학기,기초교육학부,GS1202-02,일반화학 및 연습 Ⅱ,필수,,교과,박진주[60957],학사,3/1/3,,"월 10:00~10:30
수 10:30~11:30",,29,27,CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
85,2010,2학기,기초교육학부,GS1202-03,일반화학 및 연습 Ⅱ,필수,,교과,서지원[60955],학사,3/1/3,,"월 11:00~11:30
수 10:00~10:30
금 09:00~09:30",,29,28,CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
86,2010,2학기,기초교육학부,GS1202-04,일반화학 및 연습 Ⅱ,필수,,교과,박진주[60957],학사,3/1/3,,"월 11:00~11:30
수 10:00~10:30
금 09:00~09:30",,29,12,CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
87,2010,2학기,기초교육학부,GS1212-01,일반화학실험 Ⅱ,필수,,교과,박진주[60957],학사,0/3/1,,목 11:30~12:00,,20,19, CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
88,2010,2학기,기초교육학부,GS1212-02,일반화학실험 Ⅱ,필수,,교과,서지원[60955],학사,0/3/1,,화 10:00~10:30,,20,20, CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
89,2010,2학기,기초교육학부,GS1212-03,일반화학실험 Ⅱ,필수,,교과,서지원[60955],학사,0/3/1,,수 09:30~10:00,,21,16, CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
90,2010,2학기,기초교육학부,GS1212-04,일반화학실험 Ⅱ,필수,,교과,박진주[60957],학사,0/3/1,,목 10:00~10:30,,20,20, CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
91,2010,2학기,기초교육학부,GS1212-05,일반화학실험 Ⅱ,필수,,교과,서지원[60955],학사,0/3/1,,금 09:30~10:00,,20,21, CC131 General Chemistry & Recitation 1,,,N,N,view,,미등록,"Attendance
List",,
92,2010,2학기,기초교육학부,GS1501-01,글쓰기와 말하기,필수,,교과,심우장[60929],학사,3/0/2,,"화 09:00~09:30
목 10:30~11:00",,25,25,None,,,N,N,view,,미등록,"Attendance
List",,
93,2010,2학기,기초교육학부,GS1501-02,글쓰기와 말하기,필수,,교과,심우장[60929],학사,3/0/2,,"화 10:30~11:00
목 09:00~09:30",,25,21,None,,,N,N,view,,미등록,"Attendance
List",,
94,2010,2학기,기초교육학부,GS1602-01,영어 B,필수,,교과,앤드류[61031],학사,3/0/2,,"화 09:00~09:30
목 10:30~11:00",,20,18,,,,N,N,view,,미등록,"Attendance
List",,
95,2010,2학기,기초교육학부,GS1602-02,영어 B,필수,,교과,앤드류[61031],학사,3/0/2,,"화 10:30~11:00
목 09:00~09:30",,20,17,English A (or equivalent test score),,,N,N,view,,미등록,"Attendance
List",,
96,2010,2학기,기초교육학부,GS1602-03,영어 B,필수,,교과,앤드류[61031],학사,3/0/2,,"화 10:00~10:30
목 10:00~10:30",,21,12,English A (or equivalent test score),,,N,N,view,,미등록,"Attendance
List",,
